584,7,,,,,,
Kings XI Punjab,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Mumbai Indians,field,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,8pm,Chennai Super Kings,field,Royal Challengers Bangalore
Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,bat,Pune Warriors
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Kolkata Knight Riders,bat,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,NA,8pm,Sunrisers Hyderabad,bat,Rajasthan Royals
Mumbai Indians,Rajasthan Royals,Eden Gardens,NA,8pm,Rajasthan Royals,bat,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Eden Gardens,NA,8pm,Mumbai Indians,bat,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,Sheikh Zayed Stadium,NA,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium,NA,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium,NA,4pm,Chennai Super Kings,bat,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,NA,8pm,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,NA,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kolkata Knight Riders,Delhi Daredevils,Dubai International Cricket Stadium,NA,8pm,Kolkata Knight Riders,bat,Delhi Daredevils
Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium,NA,8pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Sunrisers Hyderabad,Sharjah Cricket Stadium,NA,8pm,Sunrisers Hyderabad,field,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,NA,8pm,Rajasthan Royals,field,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,NA,8pm,Royal Challengers Bangalore,field,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Daredevils,Dubai International Cricket Stadium,NA,4pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,NA,8pm,Mumbai Indians,bat,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Sheikh Zayed Stadium,NA,4pm,Rajasthan Royals,field,Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,NA,8pm,Kolkata Knight Riders,field,Kings XI Punjab
Delhi Daredevils,Mumbai Indians,Sharjah Cricket Stadium,NA,4pm,Mumbai Indians,bat,Delhi Daredevils
Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,NA,8pm,Sunrisers Hyderabad,bat,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,NA,8pm,Kings XI Punjab,field,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Sheikh Zayed Stadium,NA,8pm,Rajasthan Royals,bat,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Dubai International Cricket Stadium,NA,8pm,Mumbai Indians,field,Sunrisers Hyderabad
Chennai Super Kings,Kolkata Knight Riders,JSCA International Stadium Complex,Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Team 1,4pm,Kings XI Punjab,bat,Mumbai Indians
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Team 1,4pm,Kolkata Knight Riders,field,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,4pm,Delhi Daredevils,bat,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Barabati Stadium,Team 1,8pm,Chennai Super Kings,field,Kings XI Punjab
Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",Team 1,8pm,Rajasthan Royals,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Kings XI Punjab
Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Team 1,4pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Barabati Stadium,Team 1,4pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,bat,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,bat,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,JSCA International Stadium Complex,Team 1,4pm,Rajasthan Royals,bat,Chennai Super Kings
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,8pm,Delhi Daredevils,field,Royal Challengers Bangalore
Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Kings XI Punjab,field,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Barabati Stadium,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Team 1,8pm,Delhi Daredevils,field,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,Team 1,4pm,Chennai Super Kings,bat,Royal Challengers Bangalore
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Team 1,4pm,Royal Challengers Bangalore,field,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,JSCA International Stadium Complex,Team 1,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Team 1,4pm,Delhi Daredevils,field,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Rajasthan Royals,field,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,4pm,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Kings XI Punjab,field,Kings XI Punjab
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Team 2,4pm,Kings XI Punjab,field,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Brabourne Stadium,NA,8pm,Chennai Super Kings,field,Chennai Super Kings
Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,NA,8pm,Chennai Super Kings,field,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,NA,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Delhi Daredevils,field,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Maharashtra Cricket Association Stadium,Team 1,8pm,Kings XI Punjab,field,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Team 1,4pm,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Kings XI Punjab
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Team 1,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Team 1,8pm,Mumbai Indians,bat,Rajasthan Royals
Kings XI Punjab,Delhi Daredevils,Maharashtra Cricket Association Stadium,Team 1,8pm,Kings XI Punjab,bat,Delhi Daredevils
Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Chennai Super Kings
Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,4pm,Delhi Daredevils,bat,Delhi Daredevils
Kings XI Punjab,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Team 1,4pm,Chennai Super Kings,bat,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera",Team 1,8pm,Kings XI Punjab,field,NA
Sunrisers Hyderabad,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,4pm,Kolkata Knight Riders,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Chennai Super Kings
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Team 1,8pm,Mumbai Indians,field,Delhi Daredevils
Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Team 1,4pm,NA,NA,NA
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Sunrisers Hyderabad
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Kolkata Knight Riders,field,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Team 1,8pm,Rajasthan Royals,field,NA
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,4pm,Delhi Daredevils,field,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Team 1,8pm,Rajasthan Royals,field,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Chennai Super Kings,field,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Rajasthan Royals,Delhi Daredevils,Brabourne Stadium,NA,8pm,Delhi Daredevils,field,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Team 1,8pm,Sunrisers Hyderabad,field,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Team 1,8pm,Delhi Daredevils,bat,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,8pm,Kings XI Punjab,field,Royal Challengers Bangalore
Rajasthan Royals,Sunrisers Hyderabad,Brabourne Stadium,NA,4pm,Rajasthan Royals,field,Sunrisers Hyderabad
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,4pm,Kings XI Punjab,bat,Kolkata Knight Riders
Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Team 1,8pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Team 1,4pm,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Team 1,8pm,Chennai Super Kings,bat,Delhi Daredevils
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Royal Challengers Bangalore,field,Kings XI Punjab
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Team 1,8pm,Kolkata Knight Riders,field,Mumbai Indians
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Kings XI Punjab,bat,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Brabourne Stadium,NA,8pm,Rajasthan Royals,bat,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,NA
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,bat,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Team 2,8pm,Mumbai Indians,bat,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Maharashtra Cricket Association Stadium,NA,8pm,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,NA,8pm,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Eden Gardens,NA,8pm,Chennai Super Kings,field,Mumbai Indians
Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Rising Pune Supergiants
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,8pm,Gujarat Lions,field,Gujarat Lions
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Team 1,8pm,Sunrisers Hyderabad,field,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Gujarat Lions,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,Team 1,8pm,Rising Pune Supergiants,bat,Gujarat Lions
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Mumbai Indians,Gujarat Lions,Wankhede Stadium,Team 1,8pm,Gujarat Lions,field,Gujarat Lions
Kings XI Punjab,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,4pm,Rising Pune Supergiants,bat,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Gujarat Lions,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Team 1,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Rising Pune Supergiants,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Team 1,8pm,Rising Pune Supergiants,field,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Team 1,4pm,Mumbai Indians,field,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Team 1,4pm,Royal Challengers Bangalore,bat,Gujarat Lions
Rising Pune Supergiants,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Mumbai Indians
Sunrisers Hyderabad,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Rising Pune Supergiants,field,Rising Pune Supergiants
Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Gujarat Lions
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket Association Stadium,Team 1,8pm,Gujarat Lions,field,Gujarat Lions
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,4pm,Kolkata Knight Riders,field,Delhi Daredevils
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Royal Challengers Bangalore,field,Sunrisers Hyderabad
Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Team 1,4pm,Gujarat Lions,field,Kings XI Punjab
Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Gujarat Lions,Delhi Daredevils,Saurashtra Cricket Association Stadium,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,8pm,Kings XI Punjab,field,Kolkata Knight Riders
Delhi Daredevils,Rising Pune Supergiants,Feroz Shah Kotla,Team 1,8pm,Rising Pune Supergiants,field,Rising Pune Supergiants
Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,8pm,Delhi Daredevils,field,Kings XI Punjab
Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,4pm,Mumbai Indians,field,Sunrisers Hyderabad
Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Team 1,8pm,Gujarat Lions,field,Gujarat Lions
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Royal Challengers Bangalore
Rising Pune Supergiants,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Mumbai Indians,bat,Kings XI Punjab
Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Team 1,4pm,Gujarat Lions,field,Royal Challengers Bangalore
Kolkata Knight Riders,Rising Pune Supergiants,Eden Gardens,Team 1,8pm,Rising Pune Supergiants,bat,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Team 1,4pm,Kings XI Punjab,bat,Sunrisers Hyderabad
Mumbai Indians,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Delhi Daredevils,field,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Rising Pune Supergiants,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Rising Pune Supergiants,field,Rising Pune Supergiants
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,8pm,Kings XI Punjab,field,Royal Challengers Bangalore
Gujarat Lions,Kolkata Knight Riders,Green Park,Team 1,8pm,Gujarat Lions,field,Gujarat Lions
Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,4pm,Kings XI Punjab,bat,Rising Pune Supergiants
Gujarat Lions,Mumbai Indians,Green Park,Team 1,8pm,Gujarat Lions,field,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Team 1,4pm,Sunrisers Hyderabad,field,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,Team 2,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,NA,8pm,Kolkata Knight Riders,field,Sunrisers Hyderabad
Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,NA,8pm,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Team 1,8pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
